title;ingredients;instructions;label
Apple Pie;"10 cups sliced apples peeled, cored and sliced (about 3.5 lbs)
½ cup granulated sugar
3 Tablespoons all-purpose flour
2 Teaspoons ground cinnamon
Dash of nutmeg optional
2 ½ cups all-purpose flour
1 teaspoon sea salt
2 Tablespoons granulated sugar
1 cup butter COLD, cut into 1 inch pieces
½ cup ice cold water
1 egg beaten
1 Tablespoon milk";"Place all pie crust ingredients in the order listed into a food processor fitted with an “S” blade process for 15-40 seconds, or until the mixture resembles a coarse meal and holds together when pinched.
Remove dough from processor (it will be crumbly), transfer it to a large bowl or flat surface, and form into two, equal-sized round discs.
Wrap both discs of dough in plastic wrap and refrigerate for at least 60 minutes or overnight.
Place the peeled and cored apples in a microwave safe dish and cook for 6 minutes, until apples are slightly soft.
While apples are in the microwave, in a small bowl, mix together sugar, flour cinnamon and nutmeg.
Once apples are finished cooking in the microwave, put them in a colander to drain excess water. Let them cool in the colander for at least 10 minutes.
Transfer cooled & drained apples to a bowl, add dry ingredient mixture and stir until it’s evenly distributed.
Preheat your oven to 350 degrees Fahrenheit.
Remove crusts from refrigerator and roll into circles, about ¼ to ½ inches thick. (you may need to let them sit on the counter at room temperature for 5 minutes, or until it rolls a little easier).
Gently place one round crust into pie plate.
Pour filling into unbaked pie crust.
Place second crust on top of the apple pie filling and shape the edges. Cut 4 slits in the top to vent steam. (or make a lattice crust).
Place a pie crust shield or aluminum foil over the outer crust of the pie to protect it from burning. Remove shield in the last 10-15 minutes of baking if it doesn’t begin to brown under the shield
Bake the pie on the middle/lower rack in the preheated oven for 60 minutes or until the filling begins to bubble and the top is lightly browned.
Let cool for at least 3 hours (the filling thickens as it cools).
Serve with vanilla ice cream.";regular
Chocolate Bundt Cake;"2 cups all-purpose flour
1 ¾ cups granulated sugar
½ cup unsweetened cocoa powder
1 teaspoon baking soda
½ teaspoon fine sea salt
1 teaspoon espresso powder
½ cup salted butter melted
½ cup canola oil
3 eggs
1 cup sour cream
1 cup whole milk
2 teaspoons pure vanilla extract
½ cup mini chocolate chips
½ cup heavy cream
1 Tablespoon light corn syrup
pinch sea salt
1 cup semisweet chocolate chopped, (or chocolate chips)";"Preheat oven to 350 degrees F.
Prepare a 10-12 cup Bundt Pan
Rub softened butter into every crack and cranny of your Bundt pan.
Use a small sifter to lightly dust the butter with flour, turn it to evenly distribute it in the pan. Set aside.
In a medium bowl, combine flour, sugar, cocoa powder, baking soda, sea salt and espresso powder. Set aside
In a large bowl, whisk together melted butter, canola oil, eggs, sour cream, milk and vanilla until the mixture is smooth.
Add dry ingredients to the wet ingredients and stir until combined.
Add mini chocolate chips and stir until evenly distributed.
Pour the batter into the prepared Bundt pan. Use a spatula to even out the top and lightly tap the pan on the counter to remove any air bubbles.
Bake in the preheated oven for 35-45 minutes, or until a toothpick inserted in the center of the cake comes out clean or with a few crumbs (larger Bundt pans will require a shorter bake time).
Place the Bundt pan on a wire cooling rack to cool to room temperature.
Once cool, carefully run a knife around the edges and center of the cake (where the cake meets the pan) to release it. Then, place a wire cooling rack on the bottom of the pan and invert it, resting the pan on the cooling rack. Gently release the Bundt cake and let it cool completely.
Heat heavy cream until just about to boil.
Turn off heat and add corn syrup, sea salt and chocolate and whisk until smooth.
Pour over cake.
Let set at room temperature or chill in the refrigerator until the glaze has hardened.
Serve slightly chilled or at room temperature.";regular
Cheesecake;"1 ½ cups graham cracker crumbs (12 full-sheets of grahams processed in the food processor until very fine)
¼ cup light brown sugar
½ teaspoon ground cinnamon
6 Tablespoons salted butter (melted)
1 ½ cups heavy whipping cream
1 ½ cups powdered sugar (divided)
16 oz cream cheese
2 Tablespoons full-fat sour cream
2 teaspoons vanilla extract
1 teaspoon lemon juice";"Gently break full graham cracker sheets into smaller pieces as you put them into the container of a food processor fitted with the “S” blade or the container of a high-powered blender.
Process/blend until a flour-like powder forms. Make sure to check for un-processed pieces of graham cracker. You may need to pause, release some pieces from the blades, and continue blending/processing.
Transfer the graham cracker crumbs to a large bowl.
Trace the bottom of a springform pan on a piece of parchment paper, cut out the circle and place it in the bottom of the springform pan.
Add the sugar and cinnamon to the graham cracker crumbs in the large bowl and stir to combine.
Then, add the melted butter and stir until the mixture is uniform throughout.
Pour the crust mixture into a 9” springform pan, pressing it down into the bottom of the dish and halfway up the sides.
Transfer to freezer while you make the filling.
In the bowl of a standing mixer fitted with the wire whisk attachment, or in a large bowl with a handheld mixer, beat the heavy whipping cream and ½ cup powdered sugar together until stiff peaks form. Set aside in the refrigerator.
Then, in the bowl of a standing mixer fitted with the wire whisk attachment, or in a large bowl with a handheld mixer, beat the cream cheese until smooth.
Add the sour cream, remaining 1 cup powdered sugar, lemon juice and vanilla and beat until smooth.
Add whipped cream mixture and beat until the mixture is smooth.
Spread the filling evenly over the frozen graham cracker crust. Freeze until hardened.
Once set, remove the no bake cheesecake from the baking pan and transfer it to a serving plate.
Garnish with fresh berries, homemade whipped cream or your favorite toppings and serve.";regular
Leomon Cupcakes;"1 ½ cups all-purpose flour
1 teaspoon baking powder
¼ teaspoon baking soda
¼ teaspoon fine sea salt
½ cup butter softened
1 cup granulated sugar
¼ cup sour cream
¼ cup whole milk
⅓ cup lemon juice
1 Tablespoon lemon zest
2 eggs
1 teaspoon pure vanilla extract";"Preheat oven to 375 degrees F.
Line two standard muffin pans with liners and lightly grease each liner with cooking spray, set aside.
In a medium bowl, combine flour, baking soda, baking powder, and sea salt. Set aside
In the bowl of a standing mixer, or in a large bowl with a hand-held mixer, beat butter and sugar for 1 minute.
Add eggs and vanilla and beat for 1 minute.
Add sour cream, milk and lemon juice and stir until combined.
Add dry ingredients and lemon zest to the wet ingredients and stir until the batter is smooth.
Fill each cupcake liner with ¼ cup batter.
Bake in the preheated oven for 18-20 minutes, or until the tops are set and a toothpick inserted in the center of the cupcakes comes out clean or with a few crumbs.
Place the baking pans on a wire cooling rack and cool for 10 minutes in the pan, then transfer the to a wire cooling rack to cool completely.
Once cool, frost (with lemon buttercream) and serve.";regular
Fluffy Maple Buttermilk Pancakes;"2 cups all-purpose flour
¼ cup white sugar
2 teaspoons baking powder
1 teaspoon baking soda
1 teaspoon salt
2 cups buttermilk
2 large eggs
¼ cup maple syrup
¼ cup unsalted butter, melted
cooking spray";"Whisk flour, sugar, baking powder, baking soda, and salt together in a large mixing bowl; set aside.
Whisk buttermilk, eggs, maple syrup, and butter together in another bowl; whisk in flour mixture until lumps are gone.
Heat a large skillet over medium heat; coat with cooking spray. Drop batter by 1/4 cupfuls onto skillet; cook until bubbles appear on the surface, 3 to 4 minutes. Flip; cook until browned on the other side, 2 to 3 minutes. Repeat with remaining batter.";regular
Pumpkin Oatmeal;"1 cup quick-cooking rolled oats
¾ cup milk, or as needed
½ cup canned pumpkin puree
¼ teaspoon pumpkin pie spice
1 teaspoon cinnamon sugar";Mix together oats and milk in a microwave-safe bowl. Cook on high for 1 to 2 minutes, stirring once. Add more milk or oats to achieve the desired consistency, and cook for another 30 seconds. Stir in pumpkin puree, pumpkin pie spice, and cinnamon sugar. Heat through, and serve.;regular
Pumpkin Donuts;"2 cups all-purpose flour
½ cup brown sugar
2 teaspoons pumpkin pie spice
1 ½ teaspoons baking powder
½ teaspoon salt
¼ teaspoon baking soda
¾ cup pumpkin puree
2 eggs
¼ cup milk
¼ cup butter, softened
1 cup confectioners' sugar, sifted
¼ teaspoon vanilla extract
½ teaspoon pumpkin pie spice
4 teaspoons milk, or as needed";"Preheat oven to 375 degrees F (190 degrees C). Lightly grease 2 baking sheets.
Stir flour, brown sugar, 2 teaspoons pumpkin pie spice, baking powder, salt, and baking soda together in a large bowl.
Mix pumpkin, eggs, milk, and butter into flour mixture; beat until completely incorporated.
Spoon pumpkin mixture into a pastry bag fitted with a large star tip with a 1/2-inch opening. Pipe 3-inch circles onto prepared baking sheets.
Bake in the preheated oven until golden brown, about 13 minutes. Remove doughnuts to a wire rack to cool.
Stir confectioner's sugar, 1/2 teaspoon pumpkin pie spice, and vanilla together in a bowl. Gradually stir in enough milk to reach a glaze consistency. Brush glaze over doughnuts with a pastry brush or spoon over the tops.";regular
Maple-Bacon Biscuits;"3 cups all-purpose flour
3 tablespoons white sugar
4 teaspoons baking powder
½ teaspoon cream of tartar
½ teaspoon salt
¾ cup cold butter
1 cup milk
2 tablespoons pure maple syrup
1 egg
½ cup finely chopped cooked bacon
2 tablespoons melted butter
2 tablespoons pure maple syrup";"Preheat the oven to 450 degrees F (230 degrees C). Line a baking sheet with parchment paper or use a nonstick baking sheet.
Combine flour, sugar, baking powder, cream of tartar, and salt in a large bowl. Use a pastry cutter to cut cold butter into flour mixture, until you see small, pea-sized pieces of butter throughout the dough. Add milk, 2 tablespoons maple syrup, and egg and mix just until the ingredients are combined; do not overmix. Dough will be sticky with visible pieces of butter.
Turn dough out onto generously floured surface and sprinkle bacon pieces on top. Gently knead dough 10 to 15 times to incorporate bacon, sprinkling with additional flour if the dough is super sticky.
Pat the dough out to a 3/4- to 1-inch thickness and cut with a biscuit cutter or glass. Transfer biscuits to the prepared baking sheet.
Bake in the preheated oven until golden brown on top, 10 to 15 minutes. Brush the tops with melted butter and remaining maple syrup for extra depth.";regular
Chocolate Chip Pancakes;"¾ cup milk
2 tablespoons white vinegar
1 cup all-purpose flour
2 tablespoons white sugar
1 teaspoon baking powder
½ teaspoon baking soda
¼ teaspoon salt
1 large egg
2 tablespoons unsalted butter, melted
1 teaspoon vanilla extract
½ cup mini chocolate chips, or more to taste
cooking spray";"To make the buttermilk: Combine milk and vinegar in a bowl and set aside for 5 minutes to sour the milk.
Combine flour, sugar, baking powder, baking soda, and salt in a large mixing bowl.
Whisk egg, butter, and vanilla extract into buttermilk mixture until well combined; add flour mixture and whisk until just combined. Fold in chocolate chips. The pancake batter will be thick. Allow batter to rest for 5 minutes.
Heat a large skillet over medium-low heat, and coat with cooking spray.
Pour about ¼ cup of batter for each pancake onto the skillet. Cook until bubbles appear on the surface, 2 to 4 minutes. Flip pancake with a spatula, and cook until browned on the other side, 2 to 3 more minutes. Repeat with remaining batter. Serve immediately.";regular
Sausage and Cheese Egg Boats;"1 pound breakfast sausage
1 loaf Cuban bread, French loaf, or other “boat-shaped” bread
2 cups shredded Cheddar Jack cheese or Mexican blend cheese, divided
6 large eggs
1/3 cup heavy cream
1 teaspoon kosher salt
1/2 teaspoon freshly ground black pepper
1/3 cup finely chopped red bell pepper
1/4 cup thinly sliced green onion";"Preheat the oven to 325 degrees F (165 degrees C). Line a rimmed baking sheet with parchment.
Heat a large skillet over medium-high heat. Cook and stir sausage in the hot skillet until browned and crumbly, 5 to 7 minutes. Drain any excess grease; set aside to cool slightly.
Using a serrated knife, trim off the top layer of bread to expose the inside. Create a well for the fillings by removing most of the bread on the inside. Place 3/4 cup cheese along the bottom of the bread; place bread on the prepared baking sheet.
Whisk eggs, cream, salt, and pepper together in a large bowl until well blended. Stir in cooked sausage, bell pepper, green onions, and remaining cheese; pour mixture into prepared bread loaf.
Bake in the preheated oven until eggs are set, 35 to 40 minutes. Let stand 5 minutes before slicing and serving.";regular
Eggs Benedict;"2 teaspoons melted butter
4 round or oval slices deli ham (about 2 ounces)
2 large eggs
1 pinch salt
1 pinch cayenne pepper
1 lemon, juiced (about 2 tablespoons)
1 tablespoon water
salt to taste
2 tablespoons cold unsalted butter, sliced
1 pinch cayenne pepper or few drops of hot sauce, to taste (optional)
1 English muffin - halved, toasted, and buttered
1 teaspoon freshly snipped chives to garnish";"Preheat the oven to 350 degrees F (175 degrees C). Grease 2 (5 ounce) ramekins (or 2 wells of a standard muffin tin) with melted butter.
Line each ramekin with two slices of ham, being sure to get the edges even around the top. 
Crack 1 egg into a small bowl; gently transfer to a ham-lined ramekin; repeat with the second egg. Season each egg with salt and cayenne, to taste.
Bake in the preheated oven until the whites are just barely set, and the yolks are still soft and a little runny, 20 to 25 minutes. The eggs will continue to cook and set more firmly once removed from the oven if left in the hot ramekins.
When eggs have 10 minutes cook time remaining, make lemon butter sauce. Add lemon juice, water, and salt to a small pan. Bring to a simmer over medium heat, and simmer until liquid has reduced by about half, 1 to 2 minutes.
Reduce heat to lowest setting and add butter slices. Start swirling and shaking the pan until butter is almost fully emulsified, then turn off the heat. Continue swirling pan until butter is entirely melted. Taste; add cayenne or hot sauce if using. Keep pan in a warm spot until needed. Sauce will thicken slightly as it cools
Toast and butter English muffins, transfer baked ham and eggs onto muffin halves, and spoon warm sauce over. Sprinkle with chives and serve immediately.";regular
Bacon, Egg, and Cheese Sandwich;"2 slices bacon
4 teaspoons butter, divided
3 large eggs
1 pinch freshly ground black pepper
1 pinch salt
1/4 cup shredded Cheddar cheese
4 slices bread";"Place bacon in a nonstick skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 7 minutes. Drain bacon slices on paper towels. Remove bacon to a drip line tray. Drain off bacon grease for another use. Wash out the skillet.
Whisk eggs with salt and pepper in a small bowl until frothy.
Melt 2 teaspoons butter in the nonstick skillet over medium heat. Pour in beaten eggs; let cook for 30 seconds. Lift the edges of the omelet so that the uncooked egg runs under the cooked edges and comes into contact with the hot skillet. Shake and tilt the skillet to move the uncooked egg. Repeat until the top is set, about 3 minutes; reduce heat to low. 
Meanwhile, chop bacon roughly; sprinkle over omelet. Sprinkle with cheese; allow cheese to melt, 1 to 2 minutes. 
Meanwhile, butter 2 slices of bread with 1/2 teaspoon butter each. Lay bread, buttered side up, side-by-side over omelet, leaving about 1 inch between slices. The melted cheese will help the bread adhere.
Run a spatula around the entire omelet to loosen from the skillet. Carefully turn the omelet over so buttered side of bread is in contact with the skillet. Cook until bread is toasted and golden, about 2 minutes.
Using the spatula, fold in edges of omelet to align with sides of the bread. Cut omelet along center with the spatula to form 2 sandwiches. Butter 2 remaining bread slices with remaining butter; place butter side up on each sandwich. Turn sandwiches; cook until golden, about 2 minutes more.";regular
NYC Deli Bacon, Egg, and Cheese Sandwich;"4 strips bacon
2 Kaiser rolls, sliced in half horizontally
4 tablespoons unsalted butter, divided
4 large eggs, lightly whisked
4 slices American cheese
ketchup, for serving (optional)";"Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until crisp, about 10 minutes. Drain bacon slices on paper towels.
Melt 2 tablespoons butter in a large nonstick pan or griddle over low heat. Add Kaiser rolls, cut sides down, and toast until lightly golden, about 3 minutes. Remove and set aside.
For each sandwich, melt 1 tablespoon butter in the skillet. Pour half the eggs into the pan, and cook as if making an omelet, pushing eggs aside and lifting to allow uncooked egg to run underneath. Layer 1 slice of cheese, 2 slices bacon, and 1 slice cheese onto half of the cooked egg, and fold the other half over the top. Add this to a toasted Kaiser roll, and wrap the roll in foil to steam. Repeat with remaining sandwich ingredients.
Slice in half and serve with ketchup.";regular
Chocolate Peanut Butter Banana Smoothies;"2 (3.25 ounce) cups Snack Pack® Chocolate Pudding
2 tablespoons Peter Pan® Creamy Peanut Butter
2 large ripe bananas, cut into pieces
¾ cup reduced fat (2%) milk
1 cup ice cubes
Reddi-wip® Chocolate Dairy Whipped Topping";"Place all ingredients, except Reddi-wip, in blender container; blend until smooth.
Divide evenly among 4 glasses; top each with 1 serving Reddi-wip. Serve immediately.";regular
Fruit and Yogurt Smoothie;"1 cup strawberries
1 banana
½ cup yogurt
¼ cup pineapple juice
1 ½ teaspoons white sugar
1 teaspoon orange juice
1 teaspoon milk";"Gather all ingredients.
Combine strawberries, banana, yogurt, pineapple juice, sugar, orange juice, and milk in a blender.
Blend until smooth.";regular
Fried Pork Chops;"1 cup vegetable oil for frying
½ cup all-purpose flour
½ teaspoon seasoning salt, or to taste
salt and pepper to taste
4 (¾-inch) thick pork chops";"Heat oil in a large skillet over medium-high heat.
Combine flour, seasoning salt, salt, and pepper in a paper or plastic bag.
Place pork chops in the bag and shake to coat. Shake off any excess flour.
Fry chops in hot oil until golden on the outside and juices run clear, 4 to 5 minutes per side. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C). Drain on a wire rack or paper towels before serving.";regular
Lasagna;"1 pound sweet Italian sausage
¾ pound lean ground beef
½ cup minced onion
2 cloves garlic, crushed
1 (28 ounce) can crushed tomatoes
2 (6.5 ounce) cans canned tomato sauce
2 (6 ounce) cans tomato paste
½ cup water
2 tablespoons white sugar
4 tablespoons chopped fresh parsley, divided
1 ½ teaspoons dried basil leaves
1 ½ teaspoons salt, divided, or to taste
1 teaspoon Italian seasoning
½ teaspoon fennel seeds
¼ teaspoon ground black pepper
12 lasagna noodles
16 ounces ricotta cheese
1 egg
¾ pound mozzarella cheese, sliced
¾ cup grated Parmesan cheese";"Gather all your ingredients.
Cook sausage, ground beef, onion, and garlic in a Dutch oven over medium heat until well browned.
Stir in crushed tomatoes, tomato sauce, tomato paste, and water. Season with sugar, 2 tablespoons parsley, basil, 1 teaspoon salt, Italian seasoning, fennel seeds, and pepper. Simmer, covered, for about 1 ½ hours, stirring occasionally.
Bring a large pot of lightly salted water to a boil. Cook lasagna noodles in boiling water for 8 to 10 minutes. Drain noodles, and rinse with cold water.
In a mixing bowl, combine ricotta cheese with egg, remaining 2 tablespoons parsley, and 1/2 teaspoon salt.
Preheat the oven to 375 degrees F (190 degrees C).
To assemble, spread 1 ½ cups of meat sauce in the bottom of a 9x13-inch baking dish. Arrange 6 noodles lengthwise over meat sauce, overlapping slightly. Spread with 1/2 of the ricotta cheese mixture. Top with 1/3 of the mozzarella cheese slices. Spoon 1 ½ cups meat sauce over mozzarella, and sprinkle with 1/4 cup Parmesan cheese.
Repeat layers, and top with remaining mozzarella and Parmesan cheese. Cover with foil: to prevent sticking, either spray foil with cooking spray or make sure the foil does not touch the cheese.
Bake in the preheated oven for 25 minutes. Remove the foil and bake for an additional 25 minutes.";regular
Creamy Sausage Tortellini Soup;"1/2 pound hot Italian sausage
3/4 cups sliced celery
3/4 cup sliced carrots
1/2 cup diced onion
2 cloves garlic, pressed
1 tablespoon all-purpose flour
14 1/2 ounces chicken broth
1 (14.5 ounce) can basil, garlic, and oregano diced tomatoes
1/2 teaspoon Italian seasoning
1 (8.8 ounce) package cheese tortellini
1 cup heavy cream
2 cups fresh spinach
1/2 cup shredded mozzarella cheese
salt and freshly ground black pepper to taste";"Place sausage, celery, carrots and onions in a Dutch oven over medium heat. Cook and stir until sausage is browned and veggies are tender, 7 to 9 minutes. Add garlic and cook until fragrant, about 1 minute.
Stir in flour and until well incorporated. Pour in chicken broth, scraping bottom of pot to release all browned bits. Cook for 1 minute. Add diced tomatoes and Italian seasoning; bring to a boil.
Reduce heat, add tortellini, and simmer for 5 minutes. Add cream; cook and stir for 5 more minutes. Add mozzarella cheese and stir until melted; stir in spinach. Season with salt and pepper.";regular
Chicken Nuggets;"vegetable oil for frying
4 cups all-purpose flour
6 tablespoons garlic salt
3 tablespoons ground black pepper
4 large eggs, beaten
8 skinless, boneless chicken breast halves - cut into small chunks";"Gather all ingredients. Heat 1 inch oil in a large skillet or saucepan to 350 degrees F (175 degrees C).
Stir together flour, garlic salt, and pepper in a bowl. Dip chicken pieces into beaten eggs, then press each piece into flour mixture to coat well; shake off excess flour. Place coated chicken pieces onto a plate.
Working in batches, fry chicken in hot oil until golden brown and no longer pink in the center.
An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).";regular
Brownies;"1 cup white sugar
½ cup vegetable oil
1 teaspoon vanilla extract
2 eggs
½ cup all-purpose flour
⅓ cup unsweetened cocoa powder
¼ teaspoon baking powder
¼ teaspoon salt
½ cup chopped walnuts";"Gather ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease a 9-inch square baking pan.
Mix sugar, oil, and vanilla together in a medium bowl; beat in eggs until well combined.
Mix flour, cocoa, baking powder, and salt together in a separate bowl; gradually stir into egg mixture until well blended. Stir in walnuts.
Spread the batter evenly into the prepared pan.
Bake in the preheated oven until the brownie begins to pull away from the edges of the pan, about 20 to 25 minutes.";regular
Red Beans and Rice;"1 pound dry kidney beans
¼ cup olive oil
1 large onion
1 green bell pepper
2 stalks celery
2 tablespoons minced garlic
6 cups water
2 bay leaves
1 tablespoon dried parsley
1 teaspoon dried thyme
1 teaspoon Cajun seasoning
½ teaspoon cayenne pepper
¼ teaspoon dried sage
1 pound andouille sausage
4 cups water
2 cups long grain white rice";"Gather all ingredients.
Rinse beans, and then soak in a large pot of water overnight.
Heat oil in a skillet over medium heat. Cook onion, bell pepper, celery, and garlic in olive oil for 3 to 4 minutes.
Rinse beans, and transfer to a large pot with 6 cups water. Stir cooked vegetables into beans. Season with bay leaves, parsley, thyme, Cajun seasoning, cayenne pepper, and sage. Bring to a boil, and then reduce heat to medium-low. Simmer for 2 1/2 hours.
Stir sausage into beans, and continue to simmer for 30 minutes.
Meanwhile, prepare the rice. Bring water and rice to a boil in a saucepan. Reduce heat, cover, and simmer for 20 minutes. Serve beans over steamed white rice.";regular
Sushi;"2 ¼ cups Japanese sushi-style rice
1 (4 inch) piece konbu dried kelp (Optional)
3 cups water
¼ cup rice vinegar
¼ cup white sugar
1 ¼ teaspoons salt";"Place rice into a large, deep bowl. Fill with cold water and rub rice together with hands until water turns milky white. Pour off cloudy water, being careful not to pour out rice. Repeat 3 or 4 times until you can see rice through 3 inches of water.
Drain rice in a fine strainer, then place into a saucepan along with konbu and 3 cups water. Allow to stand for 30 minutes. Stir together rice vinegar, sugar, and salt until dissolved in a small bowl; set aside.
Cover, and bring rice to a boil over high heat, then reduce heat to low, and simmer for 15 minutes. Remove from heat and allow to stand, covered, for 5 minutes.
Scrape rice into a bowl; remove and discard konbu. Stir in vinegar mixture until well incorporated and no lumps of rice remain. Allow to cool at room temperature. For a shinier appearance, use an electric fan to cool rice rapidly.";regular
Pecan Chicken Salad;"½ cup mayonnaise
½ cup plain Greek yogurt
2 teaspoons white wine vinegar
½ teaspoon garlic powder
¼ teaspoon dried thyme
1/2 teaspoon Park Hill maple pepper
2 cups chopped cooked chicken
2 stalks celery
⅓ cup chopped toasted pecans
2 tablespoons minced red onion";"Mix mayonnaise, Greek yogurt, vinegar, garlic powder, thyme, and maple pepper together in a bowl until well combined. Add chicken, celery, pecans, and red onion; stir well to incorporate.";regular
Chicken Cordon Bleu Meatballs;"1/4 cup minced shallot
1/4 cup half-and-half cream
1 tablespoon finely chopped fresh parsley, plus more for garnish
1 large egg, beaten
2/3 cup Italian breadcrumbs, divided
1/2 cup finely chopped deli ham (about 3 ounces)
1 pound ground chicken
1 teaspoon kosher salt
1/2 teaspoon freshly ground black pepper
1/2 teaspoon garlic powder
1/2 teaspoon paprika
2/3 cup panko breadcrumbs
2 ounces Swiss cheese, cut into 12 cubes
1/4 cup olive oil
2 tablespoons butter
1 1/2 tablespoons all-purpose flour
1 cup chicken broth
1 cup half-and-half cream or milk
1 tablespoon whole grain Dijon mustard
1/2 teaspoon kosher salt
1/4 teaspoon freshly ground black pepper
2 teaspoons lemon juice";"Combine shallot, half and half, parsley, egg, and 1/3 cup Italian breadcrumbs in a mixing bowl and stir together. 
Add ham and chicken; season with salt, pepper, garlic powder, and paprika. Mix all ingredients together just until uniform. 
Add remaining Italian bread crumbs and panko to a shallow dish and stir to combine. Roll meat mixture into 12 balls and stuff a Swiss cheese cube into the center. Roll each ball in breadcrumbs until evenly coated; place on a plate or baking sheet. Freeze meatballs for 10 minutes.
Meanwhile, preheat the oven to 400 degrees F (200 degrees C) and set a wire rack inside a rimmed baking sheet. 
Heat oil in a large skillet over medium-high heat. Add meatballs and cook until browned on all sides, 5 to 10 minutes. Transfer meatballs to the prepared wire rack.
Bake meatballs in the preheated oven until an instant read thermometer, inserted near the center, reads 165 degrees F (175 degrees C), about 10 minutes.
Meanwhile, make sauce. Wipe skillet clean and melt butter over medium heat. Whisk in flour and cook 1 minute. Whisk in broth and half-and-half. Stir in mustard, salt, and pepper and bring to a simmer. Reduce heat and simmer until sauce is rich and creamy, about 5 minutes. Remove from heat and stir in lemon juice.
Serve meatballs with Dijon cream sauce.";regular
Rustic Chicken and Dumplin's;"1 whole chicken
1 teaspoon Morton Nature’s Seasons seasoning blend
3 tablespoons butter
1 (32 ounce) carton low-sodium chicken broth
2 cups water
1/2 onion
1 teaspoon poultry seasoning
1 teaspoon minced garlic
1 1/2 teaspoons salt
1 teaspoon black pepper
3 medium carrots
3 medium stalks celery
1 1/4 cups flour
1 teaspoon baking powder
1 egg
1/2 cup whole buttermilk
1/2 cup butter
Chopped fresh parsley";"Season chicken pieces all over with the Morton’s seasoning blend.
Melt 3 tablespoons butter in a large Dutch oven over medium-high heat. Add chicken pieces, skin sides down, and cook until golden brown, 6 to 8 minutes. Turn chicken pieces and brown again, 6 to 8 minutes more.
Add broth and water; bring to a boil over high heat. Add onion, poultry seasoning, garlic, 1 teaspoon salt, and pepper. Reduce heat and simmer, covered, 20 minutes. Add carrots and celery. Leaving pot partially covered, continue simmering over low heat until vegetables are almost tender, about 20 minutes.
Meanwhile, sift flour, baking powder, and remaining 1/2 teaspoon salt together in a large bowl. In a separate medium bowl, whisk together egg and buttermilk.
Cut chilled butter into dry mixture using a pastry cutter or two forks. Blend well to a crumbly consistency. Add buttermilk mixture and gently stir with a wooden spoon until combined. Cover with plastic wrap and refrigerate 30 minutes.
Turn out dough onto a floured surface. Using your hands, pat dough to approximately 1-inch thickness and gently fold outer edges into center. Continue to gently fold—do not knead—until it comes together. Pat dough out again to approximately 1-inch thickness.
Remove cooked chicken from Dutch oven (an instant-read thermometer inserted into thickest part of chicken should register 170 degrees F /76 degrees C) and put it on a plate. Cover with foil to keep warm. Skim fat from broth. Bring broth to a gentle boil over medium-high heat.
Using a knife, cut dough into 9 (2x2-inch) squares. Gently drop each square, one at a time, into boiling broth. Lower heat to medium and simmer, uncovered, until all dumplings rise to top and a toothpick inserted in center comes out clean, about 10 minutes. Return chicken to pot and simmer an additional 5 minutes.
Spoon chicken and dumplin’s into bowls. Garnish with parsley.";regular
Cast-Iron Skillet Prime Rib Roast and Gravy;"1 (4.5 pound) beef prime rib roast
coarse sea salt
freshly ground black pepper
1 onion, quartered
¼ cup unsalted butter
¼ cup all-purpose flour
¼ cup red wine
1 (32 ounce) carton beef stock
4 sprigs fresh thyme";"Preheat oven to 275 degrees F (135 degrees C).
Rub beef roast with sea salt and black pepper. Heat a large cast-iron skillet over medium-high heat; sear roast on all sides in the hot skillet, 2 to 3 minutes per side. Turn roast so the ribs and fat side are facing up.
Roast prime rib in the preheated oven for 45 minutes; scatter onion quarters around roast and continue cooking until an instant-read meat thermometer inserted into the thickest part of the meat reads 130 degrees F (54 degrees C) for rare, about 2 more hours.
Remove roast from skillet, wrap meat in aluminum foil, and let rest for 15 to 20 minutes to let juices reabsorb into the meat. Leave onion pieces in skillet.
Pour drippings from skillet into a bowl and skim off excess grease. Return degreased drippings to skillet with onion pieces, place over medium heat, and melt butter in the drippings. Whisk flour into mixture to make a paste, 1 to 2 minutes. Stir red wine into flour paste until smooth. Mix beef stock into pan gravy until smooth; stir thyme sprigs into gravy.
Reduce heat to low and simmer gravy until thickened, 5 to 8 minutes. Strain gravy, discard onion pieces and thyme, and serve with prime rib.";regular
